,country,country_x,country_y,index,jurisdiction_x,jurisdiction_y,level_0,location_x,location_y,mealsAndIncidentals_x,mealsAndIncidentals_y,season_x,season_y,slug,slug_x,slug_y,total_x,total_y,diff
191,,KUWAIT,Kuwait,81,US,UN,191,Kuwait City,Kuwait City,105.0,,S1,,kuwait-kuwait-city,,,432.0,417.0,0.03597122302158273
192,,KYRGYZSTAN,KYRGYZSTAN,82,US,UK,192,Bishkek,Bishkek,87.0,,S1,,kyrgyzstan-bishkek,,,311.0,244.0,0.27459016393442626
193,,KYRGYZSTAN,Kyrgyzstan,82,US,UN,193,Bishkek,Bishkek,87.0,,S1,,kyrgyzstan-bishkek,,,311.0,196.0,0.5867346938775511
194,,LAOS,Laos,83,US,Canada,194,Vientiane,Vientiane,92.0,,S1,,laos-vientiane,,,212.0,97.55,-0.0568939005638134
195,,LAOS,LAOS,83,US,UK,195,Vientiane,Vientiane,92.0,,S1,,laos-vientiane,,,212.0,230.95670412518052,-0.08207903813394317
196,,LATVIA,Latvia,84,US,Canada,196,Riga,Riga,113.0,,S1,,latvia-riga,,,293.0,125.58265995,-0.10019424620413125
197,,LATVIA,LATVIA,84,US,UK,197,Riga,Riga,113.0,,S1,,latvia-riga,,,293.0,204.152025,0.435204965515282
198,,LATVIA,Latvia,84,US,UN,198,Riga,Riga,113.0,,S1,,latvia-riga,,,293.0,206.0,0.4223300970873786
199,,LEBANON,Lebanon,85,US,Canada,199,Beirut,Beirut,75.0,,S1,,lebanon-beirut,,,210.0,124.48,-0.3974935732647815
200,,LEBANON,Lebanon,85,US,UN,200,Beirut,Beirut (Movenpick) 1 January - 14 June,75.0,,S1,,lebanon-beirut,,,210.0,314.0,-0.33121019108280253
201,,LESOTHO,Lesotho,86,US,Canada,201,Maseru,Maseru,74.0,,S1,,lesotho-maseru,,,215.0,82.5626042077102,-0.10371044239554846
202,,LESOTHO,Lesotho,86,US,UN,202,Maseru,Maseru,74.0,,S1,,lesotho-maseru,,,215.0,107.0,1.0093457943925233
203,,LIBERIA,Liberia,87,US,Canada,203,Monrovia,Monrovia,95.0,,S1,,liberia-monrovia,,,295.0,87.36,0.08745421245421246
204,,LIBERIA,Liberia,87,US,UN,204,Monrovia,Monrovia,95.0,,S1,,liberia-monrovia,,,295.0,303.0,-0.026402640264026403
