Country,Currency,Location,First 60 Days US$,First 60 Days Local,>60 Days Local,Room as % of DSA,Effective Date d/mm/y,Survey Date d/mm/y,Notes
Mongolia,Mongo. Tugrik,Elsewhere,103,"254,000","254,000",46,01/08/18,01/12/17,
Montenegro ,Euro,Podgorica,157,134,101,63,01/08/18,01/03/18,
Montenegro ,Euro,"Bar, Becici, Budva, Kotor, Milocer, Petrovac, Tivat, Herceg Novi, Ulcinj (The Coast)",150,128,96,67,01/08/18,01/03/18,
Montenegro ,Euro,Budva (Hotel Splendid),295,252,189,87,01/08/18,01/03/18,"1,7"
Montenegro ,Euro,Kolasin (Hotel Bianca),123,105,79,87,01/08/18,01/03/18,1
Montenegro ,Euro,Tivat (Regent),201,172,129,70,01/08/18,01/03/18,1
Montenegro ,Euro,Elsewhere,97,83,62,64,01/08/18,01/03/18,
Montserrat,E.C. Dollar,All Areas,230,620,465,52,01/03/17,01/06/16,
Morocco,Morocco Dirham,Rabat,223,"2,110","1,580",58,01/08/18,01/06/18,
Morocco,Morocco Dirham,Rabat (Sofitel Jardin des Roses),383,"3,620","2,720",56,01/08/18,01/06/18,1
Morocco,Morocco Dirham,"Rabat (Tour Hassan, View)",343,"3,240","2,430",55,01/08/18,01/06/18,1
Morocco,Morocco Dirham,Rabat (Villa Mandarine),285,"2,690","2,020",62,01/08/18,01/06/18,1
Morocco,Morocco Dirham,Agadir,156,"1,470","1,100",54,01/08/18,01/06/18,
Morocco,Morocco Dirham,Agadir (Sofitel Royal Bay Resort),262,"2,470","1,850",62,01/08/18,01/06/18,1
Morocco,Morocco Dirham,Agadir (Sofitel Royal Thalassa),329,"3,110","2,330",64,01/08/18,01/06/18,1
Morocco,Morocco Dirham,Casablanca,244,"2,300","1,730",60,01/08/18,01/06/18,
Morocco,Morocco Dirham,Casablanca (Four Seasons),464,"4,380","3,290",59,01/08/18,01/06/18,1
Morocco,Morocco Dirham,"Casablanca (Hyatt Regency, Sofitel Tour Blanche)",370,"3,490","2,620",59,01/08/18,01/06/18,1
Morocco,Morocco Dirham,Casablanca (Kenzi Tower),268,"2,530","1,900",63,01/08/18,01/06/18,1
Morocco,Morocco Dirham,Essaouira (Le Medina Thalasa),238,"2,250","1,690",56,01/08/18,01/06/18,1
Morocco,Morocco Dirham,Essaouira (Sofitel) 26 Dec - 3 Jan,327,"3,090","2,320",61,01/08/18,01/06/18,1
Morocco,Morocco Dirham,Essaouira (Sofitel) 4 Jan - 25 Dec,248,"2,340","1,760",53,01/08/18,01/06/18,1
Morocco,Morocco Dirham,Fes,162,"1,530","1,150",54,01/08/18,01/06/18,
Morocco,Morocco Dirham,Fes (Jnan Palace & Palace Medina),200,"1,890","1,420",50,01/08/18,01/06/18,1
Morocco,Morocco Dirham,Marrakesh,184,"1,740","1,310",50,01/08/18,01/06/18,
Morocco,Morocco Dirham,Marrakesh (Four Seasons),445,"4,200","3,150",68,01/08/18,01/06/18,1
Morocco,Morocco Dirham,"Marrakesh (Hivernage, Movenpick Mansour Eddahbi, Pullman Palmeraie)",222,"2,100","1,580",58,01/08/18,01/06/18,1
Morocco,Morocco Dirham,Marrakesh (Kenzi Menara Palace),247,"2,330","1,750",61,01/08/18,01/06/18,1
Morocco,Morocco Dirham,Marrakesh (Sofitel Marrakech),393,"3,710","2,780",65,01/08/18,01/06/18,1
Morocco,Morocco Dirham,Marrakesh (Sofitel Palais Imperial) 1 Jan - 1 Jul,363,"3,430","2,570",64,01/08/18,01/06/18,1
Morocco,Morocco Dirham,Marrakesh (Sofitel Palais Imperial) 2 Jul - 31 Dec,466,"4,400","3,300",69,01/08/18,01/06/18,1
Morocco,Morocco Dirham,Marrakesh (The Pearl),357,"3,370","2,530",64,01/08/18,01/06/18,1
Morocco,Morocco Dirham,Tangier  (Le Mirage),261,"2,460","1,850",59,01/08/18,01/06/18,
Morocco,Morocco Dirham,Elsewhere,155,"1,460","1,100",53,01/08/18,01/06/18,
Mozambique,Metical,Maputo,290,"16,900","12,700",59,01/08/18,01/07/17,
Mozambique,Metical,Beira,174,"10,200","7,650",44,01/08/18,01/07/17,
Mozambique,Metical,Chimoio,195,"11,400","8,530",44,01/08/18,01/07/17,
Mozambique,Metical,Ilha de Mocambique,226,"13,200","9,930",50,01/08/18,01/07/17,
Mozambique,Metical,Nampula,189,"11,000","8,300",42,01/08/18,01/07/17,
Mozambique,Metical,Pemba,223,"13,000","9,760",45,01/08/18,01/07/17,
Mozambique,Metical,Pemba (Avani Pemba Beach),380,"22,200","16,700",63,01/08/18,01/07/17,1
Mozambique,Metical,Quelimane,210,"12,300","9,230",32,01/08/18,01/07/17,
Mozambique,Metical,Tete,227,"13,300","9,930",49,01/08/18,01/07/17,
Mozambique,Metical,Vilanculos (Casa Rex),212,"12,400","9,290",48,01/08/18,01/07/17,1
Mozambique,Metical,Elsewhere,166,"9,700","7,300",43,01/08/18,01/07/17,
Myanmar,Myanmar Kyat,Yangon,181,"256,000","192,000",46,01/08/18,01/08/17,
Myanmar,Myanmar Kyat,Yangon (Special Hotels),268,"379,000","284,000",59,01/08/18,01/08/17,"1,38"
Myanmar,Myanmar Kyat,Chaung Tha Beach,161,"228,000","171,000",75,01/08/18,01/08/17,
Myanmar,Myanmar Kyat,Dawei,95,"134,000","100,000",62,01/08/18,01/08/17,
Myanmar,Myanmar Kyat,Dawei (Hotel Dawei),193,"273,000","205,000",73,01/08/18,01/08/17,1
Myanmar,Myanmar Kyat,Hpa An,96,"136,000","102,000",66,01/08/18,01/08/17,
Myanmar,Myanmar Kyat,Inle,222,"314,000","236,000",66,01/08/18,01/08/17,
Myanmar,Myanmar Kyat,Inle (Aureum Palace and Inle Prince),325,"460,000","345,000",69,01/08/18,01/08/17,1
Myanmar,Myanmar Kyat,Kawthaung,116,"164,000","123,000",59,01/08/18,01/08/17,
Myanmar,Myanmar Kyat,Loikaw,105,"149,000","112,000",66,01/08/18,01/09/17,
Myanmar,Myanmar Kyat,Mandalay,86,"122,000","92,000",64,01/08/18,01/08/17,
Myanmar,Myanmar Kyat,"Mandalay (Mandalay Hill, Sedona, Shwe Pyi Thar)",220,"311,000","233,000",64,01/08/18,01/08/17,1
Myanmar,Myanmar Kyat,Maw-La-Myine,98,"139,000","105,000",64,01/08/18,01/05/16,
Myanmar,Myanmar Kyat,Maw-La-Myine (Attaran) International Staff Only,108,"153,000","115,000",69,01/08/18,01/08/17,1
Myanmar,Myanmar Kyat,Maw-La-Myine (Royal Hinthar and Strand) International Staff Only,130,"184,000","139,000",73,01/08/18,01/08/17,1
Myanmar,Myanmar Kyat,Monywa (Jade Royal) International Staff Only,91,"129,000","96,200",60,01/08/18,01/08/17,1
Myanmar,Myanmar Kyat,Mrauk Oo (International Staff),103,"146,000","109,000",53,01/08/18,01/08/17,
Myanmar,Myanmar Kyat,Mrauk Oo (Local Staff),87,"123,000","92,000",47,01/08/18,01/08/17,
Myanmar,Myanmar Kyat,Mrauk Oo (Mrauk U Prince) International Staff Only,421,"596,000","447,000",76,01/08/18,01/08/17,1
Myanmar,Myanmar Kyat,Mrauk Oo (Mrauk U Prince) Local Staff Only,181,"256,000","192,000",62,01/08/18,01/08/17,1
Myanmar,Myanmar Kyat,Myeik,127,"180,000","134,000",65,01/08/18,01/08/17,
Myanmar,Myanmar Kyat,Myitkyina,101,"143,000","108,000",64,01/08/18,01/08/17,
Myanmar,Myanmar Kyat,Naypyitaw,104,"147,000","110,000",43,01/08/18,01/08/17,
Myanmar,Myanmar Kyat,"Naypyitaw (Hilton, Horizon Lake View, Kempinski, Parkroyal)",157,"222,000","167,000",49,01/08/18,01/08/17,1
Myanmar,Myanmar Kyat,Ngwe Saung Beach,207,"293,000","219,000",70,01/08/18,01/08/17,
Myanmar,Myanmar Kyat,Nyaungoo-Bagan,168,"238,000","178,000",60,01/08/18,01/08/17,
Myanmar,Myanmar Kyat,Nyaungoo-Bagan (Aureum Palace),308,"436,000","327,000",68,01/08/18,01/08/17,1
Myanmar,Myanmar Kyat,"Nyaungoo-Bagan (Tharabar, Aye Yar Riverview)",258,"365,000","275,000",66,01/08/18,01/08/17,1
Myanmar,Myanmar Kyat,Pathein,104,"147,000","110,000",43,01/08/18,01/08/17,
Myanmar,Myanmar Kyat,Putao (International Staff),141,"200,000","150,000",64,01/08/18,01/08/17,
Myanmar,Myanmar Kyat,Putao (Local Staff),95,"134,000","100,000",53,01/08/18,01/08/17,
Myanmar,Myanmar Kyat,Pyinoolwin,108,"153,000","115,000",64,01/08/18,01/08/17,
Myanmar,Myanmar Kyat,Sittwe (Royal Sittwe) International Staff Only,127,"180,000","134,000",63,01/08/18,01/08/17,1
Myanmar,Myanmar Kyat,Taunggyi (International Staff Only),161,"228,000","171,000",64,01/08/18,01/08/17,
Myanmar,Myanmar Kyat,Taunggyi (Local Staff Only),118,"167,000","126,000",54,01/08/18,01/08/17,
Myanmar,Myanmar Kyat,Taungoo,167,"236,000","177,000",63,01/08/18,01/08/17,
Myanmar,Myanmar Kyat,Thandwe (Ngapali Beach Only) October - April,380,"538,000","403,000",71,01/08/18,01/08/17,40
Myanmar,Myanmar Kyat,Elsewhere,83,"117,000","87,700",65,01/08/18,01/08/17,
Namibia,Namibia Dollar,Windhoek,191,"2,510","1,880",66,01/08/18,01/07/17,
Namibia,Namibia Dollar,Windhoek (Avani Windhoek),468,"6,150","4,610",79,01/08/18,01/07/17,1
Namibia,Namibia Dollar,Gobabis,138,"1,810","1,360",69,01/08/18,01/07/17,
Namibia,Namibia Dollar,Henties Bay,120,"1,580","1,190",61,01/08/18,01/07/17,
Namibia,Namibia Dollar,Karibib (Etusis Lodge),126,"1,660","1,250",87,01/08/18,01/07/17,"1,7"
Namibia,Namibia Dollar,Katima Mulilo,163,"2,140","1,610",61,01/08/18,01/07/17,
Namibia,Namibia Dollar,Keetmanshoop,116,"1,530","1,150",63,01/08/18,01/07/17,
Namibia,Namibia Dollar,Luderitz (Nest),237,"3,110","2,330",68,01/08/18,01/07/17,1
Namibia,Namibia Dollar,Luderitz (Sea View Zum Sperrgebiet),141,"1,850","1,390",54,01/08/18,01/07/17,1
Namibia,Namibia Dollar,"Mariental (Camelthorn, Suricate, Zebra Lodges)",189,"2,480","1,860",85,01/08/18,01/07/17,"1,7"
Namibia,Namibia Dollar,Okahandja,217,"2,850","2,140",70,01/08/18,01/07/17,
Namibia,Namibia Dollar,Omaruru,280,"3,680","2,760",87,01/08/18,01/07/17,7
Namibia,Namibia Dollar,Ondangwa,127,"1,670","1,250",57,01/08/18,01/07/17,
Namibia,Namibia Dollar,Opuwo,119,"1,560","1,170",61,01/08/18,01/07/17,
Namibia,Namibia Dollar,Oshakati,113,"1,490","1,120",60,01/08/18,01/07/17,
Namibia,Namibia Dollar,Otavi,105,"1,380","1,040",69,01/08/18,01/07/17,
Namibia,Namibia Dollar,Otjiwarongo,106,"1,400","1,050",60,01/08/18,01/07/17,
Namibia,Namibia Dollar,Otjiwarongo (Okondjima Lodge),195,"2,560","1,920",87,01/08/18,01/07/17,"1,7"
Namibia,Namibia Dollar,Rundu,144,"1,900","1,430",66,01/08/18,01/07/17,
Namibia,Namibia Dollar,Rundu (Hakusembe River Lodge),194,"2,550","1,910",70,01/08/18,01/07/17,1
Namibia,Namibia Dollar,Sossesvlei (Sossesvlei Lodge),300,"3,950","2,960",87,01/08/18,01/07/17,"1,7"
Namibia,Namibia Dollar,Swakopmund,200,"2,630","1,970",70,01/08/18,01/07/17,
Namibia,Namibia Dollar,Swakopmund (Swakopmund Entertainment Centre),283,"3,720","2,790",75,01/08/18,01/07/17,1
Namibia,Namibia Dollar,Tsumeb,151,"1,980","1,490",73,01/08/18,01/07/17,
Namibia,Namibia Dollar,Tsumkwe,112,"1,470","1,100",58,01/08/18,01/07/17,
Namibia,Namibia Dollar,Walvis Bay,162,"2,130","1,600",68,01/08/18,01/07/17,
Namibia,Namibia Dollar,Elsewhere,90,"1,180",890,61,01/08/18,01/07/17,
Nauru,AUL Dollar,All Areas,207,280,210,58,01/08/18,01/02/18,
Nepal,Nepalese Rupee,Kathmandu,178,"19,600","14,700",64,01/08/18,01/11/17,
Nepal,Nepalese Rupee,Kathmandu (Dwarika's),307,"33,800","25,300",61,01/08/18,01/11/17,1
Nepal,Nepalese Rupee,Kathmandu (Hyatt Regency),236,"26,000","19,500",66,01/08/18,01/11/17,1
Nepal,Nepalese Rupee,"Bhairahawa, Bharatpur, Biratnagar, Birgunj",60,"6,600","4,950",55,01/08/18,01/11/17,
Nepal,Nepalese Rupee,Damak (IOM Guest House),103,"11,300","8,470",78,01/08/18,01/11/17,2
Nepal,Nepalese Rupee,Dhulikhel and Nagarkot,115,"12,700","9,460",61,01/08/18,01/11/17,
Nepal,Nepalese Rupee,Lumbini (Nepal Hokke),166,"18,300","13,800",67,01/08/18,01/11/17,1
Nepal,Nepalese Rupee,"Nepalgunj, Hetauda, Dhanagadhi",50,"5,500","4,180",60,01/08/18,01/11/17,
Nepal,Nepalese Rupee,Pokhara (Pokhara Grande and Shangrila),167,"18,400","13,800",65,01/08/18,01/11/17,1
Nepal,Nepalese Rupee,Pokhara and Lumbini,113,"12,400","9,350",63,01/08/18,01/11/17,
Nepal,Nepalese Rupee,Sauraha,63,"6,930","5,170",55,01/08/18,01/11/17,
Nepal,Nepalese Rupee,Sauraha (Kasara Jungle Resort),165,"18,200","13,600",68,01/08/18,01/11/17,1
Nepal,Nepalese Rupee,Elsewhere,43,"4,730","3,520",60,01/08/18,01/11/17,
Netherlands,Euro,All Areas,337,288,216,55,01/08/18,01/03/18,
New Caledonia,CFP Franc,All Areas,316,"32,200","24,200",64,01/08/18,01/12/17,
New Zealand,NZE Dollar,Auckland and Wellington,295,433,325,57,01/08/18,01/07/17,
New Zealand,NZE Dollar,Elsewhere,268,393,295,54,01/08/18,01/07/17,
Nicaragua,Cordoba Oro,Managua,194,"6,150","4,630",60,01/08/18,01/04/18,
Nicaragua,Cordoba Oro,Corn Island,157,"4,980","3,740",75,01/08/18,01/04/18,
Nicaragua,Cordoba Oro,Elsewhere,104,"3,300","2,470",63,01/08/18,01/04/18,
Niger,CFA Franc(XOF),Niamey,191,"107,000","80,300",49,01/08/18,01/07/17,
Niger,CFA Franc(XOF),Niamey (Hotel Gaweye),262,"147,000","110,000",51,01/08/18,01/07/17,1
Niger,CFA Franc(XOF),Niamey (Soluxe),303,"170,000","128,000",59,01/08/18,01/07/17,1
Niger,CFA Franc(XOF),Elsewhere,156,"87,500","65,600",44,01/08/18,01/07/17,
Nigeria,Naira,Abuja,117,"42,200","31,700",67,01/08/18,01/05/18,
Nigeria,Naira,Abuja (Bon),242,"87,400","65,600",69,01/08/18,01/05/18,1
Nigeria,Naira,Abuja (Fraser Suites),241,"86,900","65,200",61,01/08/18,01/05/18,1
Nigeria,Naira,Abuja (Sheraton),191,"69,000","51,800",57,01/08/18,01/05/18,1
Nigeria,Naira,Abuja (Transcorp Hilton),305,"110,000","82,500",60,01/08/18,01/05/18,1
Nigeria,Naira,Asaba,85,"30,600","23,000",63,01/08/18,01/05/18,
Nigeria,Naira,Bauchi,88,"31,700","23,800",71,01/08/18,01/05/18,
Nigeria,Naira,Bayelsa,109,"39,300","29,500",64,01/08/18,01/05/18,
Nigeria,Naira,Calabar City,94,"34,100","25,600",58,01/08/18,01/05/18,
Nigeria,Naira,Enugu (State Capital City),72,"26,000","19,500",57,01/08/18,01/05/18,
Nigeria,Naira,Ibadan City,75,"27,000","20,300",50,01/08/18,01/05/18,
Nigeria,Naira,Ibadan City (IITA Guest House),153,"55,200","41,400",49,01/08/18,01/05/18,1
Nigeria,Naira,Kaduna (State Capital City),72,"26,000","19,500",62,01/08/18,01/05/18,
Nigeria,Naira,Kano (State Capital City),83,"30,000","22,500",66,01/08/18,01/05/18,
Nigeria,Naira,Lagos,142,"51,400","38,600",65,01/08/18,01/05/18,
Nigeria,Naira,"Lagos (Eko, Federal Palace, Southern Sun Ikoyi)",201,"72,600","54,500",65,01/08/18,01/05/18,1
Nigeria,Naira,"Lagos (Four Points, Moorehouse Ikoyi, Renaissance)",244,"88,200","66,200",63,01/08/18,01/05/18,1
Nigeria,Naira,Lagos (Intercontinental),368,"133,000","99,800",64,01/08/18,01/05/18,1
Nigeria,Naira,Lagos (Protea Ikeja),310,"112,000","84,000",68,01/08/18,01/05/18,1
Nigeria,Naira,Lagos (Wheatbaker),449,"162,000","122,000",74,01/08/18,01/05/18,1
Nigeria,Naira,Maiduguri,80,"28,800","21,600",63,01/08/18,01/05/18,
Nigeria,Naira,Obudu (Obudu Mountain Resort),93,"33,400","25,100",60,01/08/18,01/05/18,2
Nigeria,Naira,Owerri,83,"30,000","22,500",59,01/08/18,01/05/18,
Nigeria,Naira,Port Harcourt,119,"42,800","32,100",65,01/08/18,01/05/18,
Nigeria,Naira,Port Harcourt (Golden Tulip),176,"63,700","47,800",67,01/08/18,01/05/18,1
Nigeria,Naira,Port Harcourt (Le Meridien),199,"71,900","53,900",68,01/08/18,01/05/18,1
Nigeria,Naira,Port Harcourt (Swiss International),147,"52,900","39,700",66,01/08/18,01/05/18,1
Nigeria,Naira,Uyo (Hotel Ibom),169,"61,000","45,800",57,01/08/18,01/05/18,1
Nigeria,Naira,Yenagoa City,96,"34,500","25,900",61,01/08/18,01/05/18,
Nigeria,Naira,Elsewhere,68,"24,400","18,300",61,01/08/18,01/05/18,
Niue,NZE Dollar,All areas,229,336,252,51,01/08/18,01/11/16,
Norway,Norwegian Krone,All Areas,292,"2,380","1,790",51,01/08/18,01/11/17,
Oman,Rial Omani,Muscat,278,107,80,59,01/07/17,01/07/17,
Oman,Rial Omani,Elsewhere,252,97,73,64,01/07/17,01/07/17,
Pakistan,Pakistani Rupee,Islamabad (Marriott),227,"27,600","20,700",67,01/08/18,01/04/17,1
Pakistan,Pakistani Rupee,Islamabad (Serena),326,"39,700","29,800",73,01/08/18,01/04/17,1
Pakistan,Pakistani Rupee,Islamabad/Rawalpindi,169,"20,500","15,400",66,01/08/18,01/04/17,
Pakistan,Pakistani Rupee,"Bhurban (PC), Faisalabad and Quetta (Serena)",217,"26,400","19,800",69,01/08/18,01/04/17,1
Pakistan,Pakistani Rupee,Gilgit (Serena),136,"16,600","12,500",66,01/08/18,01/04/17,1
Pakistan,Pakistani Rupee,Gwadar (Zaver Pearl Continental),200,"24,300","18,200",81,01/08/18,01/04/17,1
Pakistan,Pakistani Rupee,Karachi,181,"22,000","16,500",67,01/08/18,01/04/17,
Pakistan,Pakistani Rupee,Lahore,171,"20,800","15,600",66,01/08/18,01/04/17,
Pakistan,Pakistani Rupee,Lahore (Avari),242,"29,400","22,100",72,01/08/18,01/04/17,1
Pakistan,Pakistani Rupee,Multan (Ramada),173,"21,100","15,800",71,01/08/18,01/04/17,1
Pakistan,Pakistani Rupee,Muzaffarabad (Pearl Continental),184,"22,400","16,800",70,01/08/18,01/04/17,1
Pakistan,Pakistani Rupee,Nathiagali,106,"12,900","9,680",67,01/08/18,01/04/17,
Pakistan,Pakistani Rupee,Peshawar (Pearl Continental),166,"20,200","15,200",71,01/08/18,01/04/17,1
Pakistan,Pakistani Rupee,Skardu,144,"17,500","13,100",71,01/08/18,01/04/17,
Pakistan,Pakistani Rupee,Swat (Serena),136,"16,600","12,500",66,01/08/18,01/04/17,1
Pakistan,Pakistani Rupee,Elsewhere,82,"10,000","7,500",60,01/08/18,01/04/17,
Palau,US Dollar,All Areas,295,295,221,62,01/02/18,01/02/18,
Panama,Balboa,Panama City,263,263,197,56,01/08/17,01/08/17,
Panama,Balboa,Comarca Kuna Yala/San Blas,198,198,149,61,01/08/17,01/08/17,
Panama,Balboa,Davíd,199,199,149,66,01/08/17,01/08/17,
Panama,Balboa,El Valle de Anton,267,267,200,66,01/08/17,01/08/17,
Panama,Balboa,Isla Colon,215,215,161,61,01/08/17,01/08/17,
Panama,Balboa,Elsewhere,186,186,140,61,01/08/17,01/08/17,
Papua New Guinea,Kina,Port Moresby,344,"1,120",840,68,01/07/18,01/11/16,
Papua New Guinea,Kina,Alotau,203,660,495,72,01/07/18,01/07/16,
Papua New Guinea,Kina,Arawa,221,720,540,67,01/07/18,01/11/16,
Papua New Guinea,Kina,Buin,200,650,488,66,01/07/18,01/11/16,
Papua New Guinea,Kina,Buka,279,910,680,70,01/07/18,01/11/16,
Papua New Guinea,Kina,Daru,166,540,405,69,01/07/18,01/07/16,
Papua New Guinea,Kina,Gaire,203,660,495,68,01/07/18,01/07/16,
Papua New Guinea,Kina,Goroka,181,590,443,68,01/07/18,01/07/16,
Papua New Guinea,Kina,Kavieng,215,700,530,73,01/07/18,01/07/16,
Papua New Guinea,Kina,Kimbe,178,580,435,72,01/07/18,01/07/16,
Papua New Guinea,Kina,Kiunga,203,660,495,72,01/07/18,01/07/16,
Papua New Guinea,Kina,Kokopo,203,660,495,72,01/07/18,01/07/16,
Papua New Guinea,Kina,Lae,215,700,530,71,01/07/18,01/07/16,
Papua New Guinea,Kina,Loloata,282,920,690,61,01/07/18,01/02/15,
Papua New Guinea,Kina,Lorengau,190,620,465,71,01/07/18,01/01/18,
Papua New Guinea,Kina,Madang,169,550,413,68,01/07/18,01/07/16,
Papua New Guinea,Kina,Mt. Hagen,163,530,398,68,01/07/18,01/07/16,
Papua New Guinea,Kina,Popondetta,169,550,413,70,01/07/18,01/07/16,
Papua New Guinea,Kina,Rabaul,190,620,465,62,01/07/18,01/02/15,
Papua New Guinea,Kina,Siwai,193,630,473,65,01/07/18,01/12/16,
Papua New Guinea,Kina,Tabubil,187,610,458,72,01/07/18,01/07/16,
Papua New Guinea,Kina,Vanimo,187,610,458,66,01/07/18,01/07/16,
Papua New Guinea,Kina,Wewak,160,520,390,68,01/07/18,01/07/16,
Papua New Guinea,Kina,Elsewhere,145,471,353,65,01/07/18,01/11/16,
Paraguay,Guarani,Asuncion,210,"1,208,000","909,000",57,01/08/18,01/05/18,
Paraguay,Guarani,Ciudad del Este (Casino Acaray),210,"1,208,000","909,000",58,01/08/18,01/05/18,1
Paraguay,Guarani,Elsewhere,143,"822,000","615,000",51,01/08/18,01/05/18,
Peru,Nuevo Sol,Lima,240,780,590,65,01/08/18,01/07/16,
Peru,Nuevo Sol,Arequipa,171,560,419,63,01/08/18,01/07/16,
Peru,Nuevo Sol,Cuzco,196,640,481,60,01/08/18,01/07/16,
Peru,Nuevo Sol,Iquitos,152,497,373,67,01/08/18,01/07/16,
Peru,Nuevo Sol,Trujillo,173,570,425,60,01/08/18,01/07/16,
Peru,Nuevo Sol,Elsewhere,126,412,311,59,01/08/18,01/07/16,
Philippines,Philippine Peso,Metro Manila,256,"13,600","10,200",58,01/08/18,01/09/17,
Philippines,Philippine Peso,Baguio City,123,"6,550","4,910",66,01/08/18,01/09/17,
Philippines,Philippine Peso,Bataan,186,"9,890","7,420",76,01/08/18,01/09/17,
Philippines,Philippine Peso,Batangas,154,"8,210","6,160",76,01/08/18,01/09/17,
Philippines,Philippine Peso,Cebu City,226,"12,000","9,000",64,01/08/18,01/09/17,
Philippines,Philippine Peso,"Clark, Pampanga",160,"8,510","6,380",70,01/08/18,01/09/17,
Philippines,Philippine Peso,Davao City,147,"7,830","5,870",66,01/08/18,01/09/17,
Philippines,Philippine Peso,Tacloban,101,"5,350","4,010",73,01/08/18,01/09/17,
Philippines,Philippine Peso,Tagaytay,171,"9,090","6,820",64,01/08/18,01/09/17,
Philippines,Philippine Peso,Tagbilaran,138,"7,350","5,510",72,01/08/18,01/09/17,
Philippines,Philippine Peso,Elsewhere,89,"4,730","3,550",67,01/08/18,01/09/17,
Poland,Poland Zloty,Warsaw,287,"1,050",790,61,01/08/18,01/01/13,
Poland,Poland Zloty,Elsewhere,200,730,550,61,01/08/18,01/01/13,
Portugal,Euro,Lisbon,398,340,255,63,01/08/18,01/06/18,
Portugal,Euro,Porto,335,286,215,65,01/08/18,01/06/18,
Portugal,Euro,Elsewhere,153,131,98,35,01/08/18,01/12/14,
Puerto Rico,US Dollar,All  Areas (20 Dec. - 30 Apr.),421,421,316,68,01/06/13,01/06/13,
Puerto Rico,US Dollar,All Areas (1 May - 20 Dec.),304,304,228,59,01/06/13,01/06/13,
Qatar,Qatari Rial,Doha,340,"1,240",930,61,01/08/18,01/01/18,
Romania,Leu,Bucharest,240,950,710,65,01/08/18,01/07/17,
Romania,Leu,"Brasov, Constanta, Mamaia, Timisoara",192,760,570,61,01/08/18,01/07/17,
Romania,Leu,Cluj and Sibiu,159,630,470,58,01/08/18,01/07/17,
Romania,Leu,Elsewhere,142,560,423,56,01/08/18,01/07/17,
Russian Federation,Russian Rouble,Moscow,361,"22,500","16,900",70,01/08/18,01/06/17,
Russian Federation,Russian Rouble,Sakha,146,"9,110","9,110",68,01/08/18,01/09/16,
Russian Federation,Russian Rouble,Sochi (1 Jun. - 15 Oct.),202,"12,600","12,600",71,01/08/18,01/06/17,
Russian Federation,Russian Rouble,Sochi (16 Oct. - 31 May),164,"10,200","10,200",67,01/08/18,01/06/17,
Russian Federation,Russian Rouble,St. Petersburg,332,"20,700","20,700",74,01/08/18,01/06/17,
Russian Federation,Russian Rouble,Vladivostok,278,"17,300","13,000",66,01/08/18,01/01/18,
Russian Federation,Russian Rouble,Elsewhere,132,"8,230","6,170",59,01/08/18,01/01/18,
Rwanda,Rwanda Franc,Kigali,185,"163,000","163,000",60,01/08/18,01/03/18,
Rwanda,Rwanda Franc,Kigali (Kigali Marriott & Kigali Serena),292,"258,000","193,000",68,01/08/18,01/03/18,1
Rwanda,Rwanda Franc,Kigali (Mille Collines),245,"216,000","162,000",57,01/08/18,01/03/18,1
Rwanda,Rwanda Franc,Kigali (Radisson Blu),271,"239,000","179,000",63,01/08/18,01/03/18,1
Rwanda,Rwanda Franc,Bugesera,124,"109,000","82,000",65,01/08/18,01/08/16,
Rwanda,Rwanda Franc,Bugesera (Golden Tulip La Palisse),145,"128,000","96,100",63,01/08/18,01/01/17,1
Rwanda,Rwanda Franc,Karongi,170,"150,000","113,000",52,01/08/18,01/01/17,
Rwanda,Rwanda Franc,Kibungo (Akagera Lodge),131,"116,000","86,400",63,01/08/18,01/01/17,1
Rwanda,Rwanda Franc,Musanze,145,"128,000","96,100",69,01/08/18,01/01/17,
Rwanda,Rwanda Franc,Nyamasheke (Nyungwe),475,"419,000","314,000",87,01/08/18,01/07/16,1
Rwanda,Rwanda Franc,Rubavu,160,"141,000","106,000",70,01/08/18,01/07/16,
Rwanda,Rwanda Franc,Rubavu (Serena Lake Kivu),240,"212,000","159,000",58,01/08/18,01/01/17,1
Rwanda,Rwanda Franc,Elsewhere,83,"73,200","73,200",63,01/08/18,01/01/17,
Saint Maarten,N.A. Gulder,All Areas (15 April - 15 December),249,462,347,56,01/08/18,01/06/17,
Saint Maarten,N.A. Gulder,All Areas (16 December - 14 April),289,540,402,60,01/08/18,01/06/17,
Samoa,Tala,"Apia, Upolu",142,360,270,54,01/08/18,01/11/16,
Samoa,Tala,"Apia, Upolu (Aggie Grey Resort, Taumeasina)",249,630,473,68,01/08/18,01/11/16,1
Samoa,Tala,"Apia, Upolu (Tanoa Tusitala)",213,540,405,65,01/08/18,01/11/16,1
Samoa,Tala,"Cape Fatuosofia, Upolu (Le Vasa Resort)",168,426,320,59,01/08/18,01/11/16,1
Samoa,Tala,"Lalomanu, Upolu (Aga Reef Resort & Spa)",304,770,580,71,01/08/18,01/11/16,1
Samoa,Tala,Savaii,132,334,251,60,01/08/18,01/11/16,
Samoa,Tala,Savaii (Le Legato),284,720,540,75,01/08/18,01/11/16,1
Samoa,Tala,"Siumu, Upolu (Coconuts Beach Resort)",233,590,443,66,01/08/18,01/11/16,1
Samoa,Tala,Elsewhere,117,297,223,57,01/08/18,01/11/16,
