"Country - (Currency)Area","First 60DaysUS$","First 60 DaysLocal",">60 DaysLocal","Roomas %ofDSA","EffectiveDated/mm/y","SurveyDated/mm/y",Notes
"Dhaka (Amari, Lake Shore, PanPacific Sonargaon)",304,"25,300","19,000",65,1/3/18,1/6/17,1
"Dhaka (Le Meridien, Sarina, SixSeasons)",278,"23,200","17,400",67,1/3/18,1/6/17,1
Dhaka (Longbeach Suites),195,"16,300","12,200",64,1/3/18,1/6/17,1
"Dhaka (Radisson Water Garden, Westin)",339,"28,300","21,200",65,1/3/18,1/6/17,1
Chittagong,67,"5,580","4,170",58,1/3/18,1/6/17,
Chittagong (Agrabad and Peninsula),109,"9,080","6,830",62,1/3/18,1/6/17,1
Chittagong (Radisson Blu),175,"14,600","10,900",59,1/3/18,1/6/17,1
Cox's Bazaar,81,"6,750","5,080",55,1/3/18,1/6/17,
"Cox's Bazaar (Ocean Paradise, Royal Tulip Sea Pearl, Sayeman)",97,"8,080","6,080",60,1/3/18,1/6/17,1
"Sylhet (Grand Sultan, The Palace)",202,"16,800","12,700",66,1/3/18,1/6/17,1
Sylhet (Nazimgarh Resort),138,"11,500","8,670",71,1/3/18,1/6/17,1
Elsewhere,68,"5,670","5,670",58,1/3/18,1/6/17,
Barbados (Barbados Dollar),,,,,,,
All Areas (16 Apr. - 15 Dec.),425,850,640,52,1/10/17,1/10/17,
All Areas (16 Dec. - 15 Apr.),475,950,710,62,1/10/17,1/10/17,
Belarus (New Belarusian Ruble),,,,,,,
Minsk,249,486,365,51,1/3/18,1/2/18,
Brest,189,369,277,59,1/3/18,1/2/18,
Homiel,148,289,217,53,1/3/18,1/2/18,
Hrodna (Non-residents),195,381,285,58,1/3/18,1/2/18,
Hrodna (Residents),185,361,271,56,1/3/18,1/2/18,
Mahiliou,131,256,191,46,1/3/18,1/2/18,
Viciebsk,118,230,174,50,1/3/18,1/2/18,
Elsewhere,92,180,135,46,1/3/18,1/2/18,
Belgium (Euro),,,,,,,
All Areas,387,315,236,58,1/3/18,1/12/17,
Belize (Belize Dollar),,,,,,,
Belize City,214,427,320,60,1/4/17,1/4/17,
"Placencia (Laru Beya Resort) 1 Dec-31 Jan",410,820,620,66,1/4/17,1/4/17,1
"Placencia (Laru Beya Resort) 1 Jun -30 Nov",310,620,465,59,1/4/17,1/4/17,1
Placencia (Laru Beya Resort) 1-31 May,330,660,495,60,1/4/17,1/4/17,1
Placencia (Roberts Grove) 1 Dec-31 Jan,410,820,620,66,1/4/17,1/4/17,1
Placencia (Roberts Grove) 1 Feb - 30 Apr,415,830,620,57,1/4/17,1/3/17,1
Placencia (Roberts Grove) 1 Jun - 30 Nov,310,620,465,59,1/4/17,1/4/17,1
Placencia (Roberts Grove) 1-31 May,330,660,495,60,1/4/17,1/4/17,1
San Pedro (The Villas at Banyan Bay) 1 January - 30 April,530,"1,060",800,63,1/4/17,1/4/17,1
San Pedro (The Villas at Banyan Bay) 1 May - 31 December,455,910,680,58,1/4/17,1/4/17,1
Elsewhere,219,438,329,53,1/4/17,1/4/17,
Benin (CFA Franc(XOF)),,,,,,,
Cotonou,221,"118,000","88,500",53,1/3/18,1/10/17,
Cotonou (Golden Tulip de Diplomate),340,"182,000","137,000",69,1/3/18,1/10/17,1
Cotonou (La Maison Rouge),292,"156,000","117,000",62,1/3/18,1/10/17,1
Grand Popo,149,"79,500","59,600",39,1/3/18,1/10/17,
Lokossa,127,"68,100","51,100",42,1/3/18,1/10/17,
Malanville,111,"59,500","44,600",49,1/3/18,1/10/17,
Ouidah (Casa Del Papa),194,"104,000","78,000",48,1/3/18,1/10/17,1
Parakou,120,"64,200","48,200",43,1/3/18,1/10/17,
Porto Novo,143,"76,300","57,200",47,1/3/18,1/10/17,
Porto Novo (Les Ambassadeurs),209,"112,000","84,000",54,1/3/18,1/10/17,1
Possotome,164,"87,700","65,800",48,1/3/18,1/10/17,
Elsewhere,107,"57,000","42,800",43,1/3/18,1/10/17,
Bermuda (Bermuda Dollar),,,,,,,
All Areas (1 Dec. - 14 Mar.),459,459,344,72,1/4/10,1/4/10,
All Areas (15 Mar. - 30 Nov.),510,510,383,72,1/4/10,1/4/10,
Bhutan (Bhutan Ngultrum),,,,,,,
Thimphu,126,"8,200","6,150",64,1/3/18,1/2/18,
Thimphu (Le Meridien),297,"19,300","14,500",74,1/3/18,1/2/18,1
Thimphu (Taj Tashi),453,"29,400","22,100",55,1/3/18,1/2/18,1
Paro,96,"6,230","4,670",62,1/3/18,1/2/18,
Phuentsholing,90,"5,810","4,360",61,1/3/18,1/2/18,
Elsewhere,95,"6,190","4,640",61,1/3/18,1/2/18,
Bolivia (Boliviano),,,,,,,
La Paz,165,"1,140",860,62,1/3/18,1/7/17,
Cochabamba,110,760,570,61,1/3/18,1/7/17,
Santa Cruz,171,"1,180",890,52,1/3/18,1/7/17,
Elsewhere,87,600,450,54,1/3/18,1/7/17,
Bosnia and Herzegovina (Convertible Mark),,,,,,,
Sarajevo,124,198,148,55,1/3/18,1/8/17,
Banja Luka,110,175,132,47,1/3/18,1/8/17,
Mostar,120,191,144,43,1/3/18,1/8/17,
"Sarajevo (Bristol, Central, Europe, Marriott Courtyard)",155,247,185,67,1/3/18,1/8/17,1
Travnik,85,136,102,56,1/3/18,1/8/17,
Elsewhere,90,144,108,55,1/3/18,1/8/17,
Botswana (Botswana Pula),,,,,,,
Gaborone,302,"2,860","2,150",70,1/3/18,1/3/17,
"Francistown (Marang, Thapama Lodge)",226,"2,140","1,610",72,1/3/18,1/3/17,1
Kasane,287,"2,720","2,040",63,1/3/18,1/2/16,
"Kasane (Chobe Marina Lodge, Chobe Safari Lodge, Mowana Lodge)
Resident",243,"2,300","1,730",65,1/3/18,1/3/17,1
Mahalapye,181,"1,720","1,290",69,1/3/18,1/3/17,
Maun,214,"2,030","1,520",58,1/3/18,1/3/17,
Nata,170,"1,610","1,210",60,1/3/18,1/3/17,
Palapye,209,"1,980","1,490",66,1/3/18,1/3/17,
Selebi-Phikwe,183,"1,730","1,300",61,1/3/18,1/3/17,
Shakawe,281,"2,660","2,000",65,1/3/18,1/3/17,
Elsewhere,146,"1,380","1,040",63,1/3/18,1/3/17,
Brazil (Brazilian Real),,,,,,,
Brasilia,198,640,480,63,1/3/18,1/4/17,
Campinas,170,550,413,62,1/3/18,1/4/17,
Curitiba,150,486,365,62,1/3/18,1/4/17,
Fortaleza,143,464,348,61,1/3/18,1/4/17,
Palmas,143,462,347,66,1/3/18,1/12/15,
Porto Allegre,164,530,398,60,1/3/18,1/4/17,
Recife,154,500,375,59,1/3/18,1/4/17,
Rio De Janeiro,210,680,510,63,1/3/18,1/4/17,
Sao Paulo,182,590,443,65,1/3/18,1/4/17,
Elsewhere,131,423,317,58,1/3/18,1/4/17,
British Virgin Islands (US Dollar),,,,,,,
All Areas (15 Dec. - 15 Apr.),464,464,348,70,1/10/17,1/10/17,
All Areas (16 Apr. -14 Dec.),422,422,317,69,1/10/17,1/10/17,
Brunei (Brunei Dollar),,,,,,,
All Areas,187,247,185,66,1/3/18,1/7/15,
Bulgaria (New Lev),,,,,,,
Sofia,216,345,258,66,1/3/18,1/12/17,
"Sofia (Hilton, Arena di Serdika)",262,418,314,70,1/3/18,1/12/17,1
"Burgas, Plovdiv, Stara Zagora, Varna",104,166,124,56,1/3/18,1/12/17,
Elsewhere,78,124,94,52,1/3/18,1/12/17,
Burkina Faso (CFA Franc(XOF)),,,,,,,
Ouagadougou,280,"150,000","113,000",62,1/3/18,1/3/17,
Ouagadougou (Laico Ouaga 2000),415,"222,000","167,000",59,1/3/18,1/3/17,1
Bobo-Dioulasso,135,"72,200","54,200",49,1/3/18,1/3/17,
Elsewhere,108,"57,900","43,400",43,1/3/18,1/3/17,
Burundi (Burundi Franc),,,,,,,
Bujumbura,235,"413,000","309,000",58,1/3/18,1/8/17,
Gitega and Ngozi,94,"165,000","125,000",28,1/3/18,1/8/17,
Rumonge,221,"388,000","292,000",50,1/3/18,1/8/17,
Elsewhere,61,"107,000","80,900",27,1/3/18,1/8/17,
Cambodia (Cambodian Riel),,,,,,,
Phnom Penh,146,"585,000","441,000",57,1/3/18,1/9/17,
Phnom Penh (Himawari),292,"1,171,000","878,000",70,1/3/18,1/9/17,1
"Phnom Penh (Intercontinental, Raffles Le Royal, Sofitel Phnom Penh Phokeethra)",303,"1,215,000","910,000",66,1/3/18,1/9/17,1
Phnom Penh (Sokha Phnom Penh),228,"914,000","686,000",66,1/3/18,1/9/17,1
Siem Reap,132,"529,000","397,000",62,1/3/18,1/9/17,
Siem Reap (Sofitel Phokeethra Royal Angkor),348,"1,395,000","1,046,000",67,1/3/18,1/9/17,1
"Siem Reap (Sokha, Victoria Angkor)",189,"758,000","569,000",63,1/3/18,1/9/17,1
Sihanoukville,116,"465,000","349,000",37,1/3/18,1/9/17,
"Sihanoukville (Independence, Palm Palace)",135,"541,000","405,000",50,1/3/18,1/9/17,1
Sihanoukville (Sokha Beach),233,"934,000","702,000",55,1/3/18,1/9/17,1
Elsewhere,57,"229,000","172,000",46,1/3/18,1/9/17,
Cameroon (CFA Franc(XAF)),,,,,,,
Yaounde,226,"121,000","90,800",53,1/3/18,1/5/17,
Yaounde (Hotel Hilton),366,"196,000","147,000",54,1/3/18,1/5/17,1
Douala,193,"103,000","77,300",55,1/3/18,1/5/17,
Elsewhere,127,"68,100","51,100",53,1/3/18,1/5/17,
Canada (Canadian Dollar),,,,,,,
Ottawa,351,447,335,59,1/3/18,1/8/17,
Calgary,251,320,240,60,1/3/18,1/8/17,
Halifax,266,338,254,58,1/3/18,1/8/17,
Montreal,278,354,266,63,1/3/18,1/8/17,
Toronto,350,445,334,66,1/3/18,1/8/17,
Vancouver,289,368,276,59,1/3/18,1/8/17,
Elsewhere,214,273,205,56,1/3/18,1/8/17,
Canary Islands (Euro),,,,,,,
All Areas,209,170,128,57,1/3/18,1/8/17,
Cape Verde (CV Escudo),,,,,,,
Praia,197,"17,700","13,300",48,1/3/18,1/5/17,
Boa Vista Island,239,"21,500","16,100",61,1/3/18,1/5/17,
Mindelo,185,"16,600","12,500",50,1/3/18,1/5/17,
Santa Maria (Sal),266,"23,900","17,900",61,1/3/18,1/5/17,
Elsewhere,141,"12,700","9,530",38,1/3/18,1/5/17,
Cayman Islands (CaymanI. Dollar),,,,,,,
All Areas (1 Dec. - 30 Apr.),388,318,239,77,1/8/12,1/7/12,
All Areas (1 May - 30 Nov.),307,252,189,74,1/8/12,1/7/12,
Central African Rep. (CFA Franc(XAF)),,,,,,,
Bangui,213,"114,000","85,500",47,1/3/18,1/2/18,
Bangui (Ledger Plaza),340,"182,000","137,000",63,1/3/18,1/2/18,1
Boali,119,"63,400","47,600",47,1/3/18,1/2/18,
Elsewhere,95,"50,600","38,000",59,1/3/18,1/2/18,
Chad (CFA Franc(XAF)),,,,,,,
N'djamena,178,"95,400","71,600",59,1/3/18,1/2/18,
"N'Djaména (Hilton, La Residence, Radisson Blu)",284,"152,000","114,000",58,1/3/18,1/2/18,1
Elsewhere,133,"71,300","53,500",49,1/3/18,1/2/18,
Chile (Chilean Peso),,,,,,,
Santiago,323,"190,000","143,000",58,1/3/18,1/5/17,
Elsewhere,239,"141,000","106,000",58,1/3/18,1/5/17,
China (Renminbi),,,,,,,
Beijing,230,"1,450","1,090",55,1/3/18,1/9/16,
Changsha,168,"1,060",800,55,1/3/18,1/9/16,
Chengdu,218,"1,380","1,040",57,1/3/18,1/9/16,
Dalian,199,"1,260",940,49,1/3/18,1/9/16,
Fuzhou,222,"1,400","1,050",53,1/3/18,1/9/16,
Guangzhou,220,"1,390","1,040",54,1/3/18,1/9/16,
Haikou,245,"1,550","1,160",53,1/3/18,1/9/16,
Hangzhou,215,"1,360","1,020",58,1/3/18,1/9/16,
Jinan,172,"1,090",810,53,1/3/18,1/9/16,
Kunming,229,"1,450","1,090",61,1/3/18,1/9/16,
Lhasa,219,"1,380","1,040",62,1/3/18,1/9/16,
Nanjing,163,"1,030",770,49,1/3/18,1/9/16,
Nanning,180,"1,140",850,60,1/3/18,1/9/16,
Quingdao,208,"1,310",990,62,1/3/18,1/9/16,
Sanya,198,"1,250",940,54,1/3/18,1/9/16,
Shanghai,239,"1,510","1,130",61,1/3/18,1/9/16,
Shenyang,193,"1,220",920,52,1/3/18,1/9/16,
Shenzhen,220,"1,390","1,040",62,1/3/18,1/9/16,
Suzhou,184,"1,160",870,57,1/3/18,1/9/16,
Tianjin,186,"1,170",880,51,1/3/18,1/9/16,
Wu Han,170,"1,070",810,54,1/3/18,1/9/16,
Xi'An,203,"1,280",960,55,1/3/18,1/9/16,
Xiamen,182,"1,150",870,49,1/3/18,1/9/16,
Elsewhere,143,900,680,54,1/3/18,1/9/16,
"China, Hong Kong (Hong Kong Dollar)",,,,,,,
Hong Kong (SAR),372,"2,910","2,180",61,1/3/18,1/9/16,
"China, Macau (Pataca)",,,,,,,
Macau (SAR),241,"1,940","1,460",62,1/3/18,1/9/16,
Colombia (Colombian Peso),,,,,,,
Bogota,158,"451,000","338,000",77,1/3/18,1/7/17,
Barranquilla,118,"336,000","252,000",68,1/3/18,1/7/17,
Bucaramanga,122,"347,000","260,000",72,1/3/18,1/7/17,
Buenaventura,107,"304,000","228,000",72,1/3/18,1/7/17,
Cali,136,"388,000","291,000",72,1/3/18,1/7/17,
Cartagena,156,"445,000","334,000",75,1/3/18,1/7/17,
Cucuta,114,"325,000","244,000",74,1/3/18,1/7/17,
Medellin,145,"412,000","309,000",66,1/3/18,1/7/17,
Monteria,81,"232,000","174,000",69,1/3/18,1/7/17,
Neiva,92,"263,000","197,000",69,1/3/18,1/7/17,
Paipa,132,"377,000","283,000",70,1/3/18,1/7/17,
Riohacha,97,"276,000","207,000",71,1/3/18,1/7/17,
San Andres,140,"399,000","299,000",73,1/3/18,1/7/17,
Santa Marta,123,"351,000","263,000",70,1/3/18,1/7/17,
Villa de Leyva,128,"364,000","273,000",70,1/3/18,1/7/17,
Villavicencio,86,"245,000","184,000",68,1/3/18,1/7/17,
Elsewhere,89,"254,000","191,000",72,1/3/18,1/7/17,
Comoros (Comoros Franc),,,,,,,
Moroni,237,"95,200","71,400",55,1/3/18,1/7/17,
Elsewhere,143,"57,400","43,100",52,1/3/18,1/7/17,
Congo (CFA Franc(XAF)),,,,,,,
Brazzaville,284,"152,000","114,000",62,1/3/18,1/4/17,
"Brazzaville (Hotel Ledger, Olympic Palace, Radisson Blu)",477,"255,000","191,000",63,1/3/18,1/4/17,1
Dolisie,239,"128,000","96,000",59,1/3/18,1/4/17,
Ollombo (Alima Palace),520,"276,000","207,000",58,1/3/18,1/4/17,1
Owando,176,"94,300","70,700",52,1/3/18,1/4/17,
Pointe-Noire,344,"184,000","138,000",70,1/3/18,1/4/17,
Elsewhere,150,"80,400","60,300",53,1/3/18,1/4/17,
"Congo, Dem. Rep. (Franc Congolais)",,,,,,,
Kinshasa,283,"457,000","343,000",62,1/3/18,1/2/17,
"Kinshasa (Fleueve Congo, Pullman Grand, Memling)",410,"663,000","498,000",62,1/3/18,1/2/17,1
Bandundu,144,"233,000","175,000",56,1/3/18,1/11/16,
Boma,166,"268,000","202,000",57,1/3/18,1/2/17,
Bukavu,205,"331,000","249,000",57,1/3/18,1/8/16,
Bunia,150,"242,000","183,000",65,1/3/18,1/8/16,
Goma,205,"331,000","249,000",61,1/3/18,1/8/16,
Kananga,154,"249,000","187,000",68,1/3/18,1/8/16,
Kindu,178,"288,000","217,000",56,1/3/18,1/8/16,
Kisangani,161,"260,000","196,000",55,1/3/18,1/11/16,
Lubumbashi,214,"346,000","260,000",58,1/3/18,1/11/16,
Matadi,183,"296,000","221,000",57,1/3/18,1/2/17,
Mbandaka,150,"242,000","183,000",53,1/3/18,1/11/16,
Mbuji-Mayi,158,"255,000","192,000",59,1/3/18,1/8/16,
Zongo (Seli Safari Zongo),253,"409,000","307,000",59,1/3/18,1/4/15,1
Elsewhere,141,"228,000","171,000",58,1/3/18,1/4/15,
Cook Islands (NZE Dollar),,,,,,,
Rarotonga,314,432,325,61,1/3/18,1/11/16,
Elsewhere,251,346,259,55,1/3/18,1/11/16,
Costa Rica (COS Colon),,,,,,,
San Jose,212,"121,000","90,600",56,1/3/18,1/8/17,
Guanacaste,238,"136,000","102,000",59,1/3/18,1/8/17,
Limon,220,"125,000","94,000",57,1/3/18,1/8/17,
Puntarenas,245,"140,000","105,000",66,1/3/18,1/8/17,
Elsewhere,169,"96,300","72,400",59,1/3/18,1/8/17,
Cote d Ivoire (CFA Franc(XOF)),,,,,,,
Abidjan,200,"107,000","80,300",52,1/3/18,1/12/16,
Abidjan (Azalai),318,"170,000","128,000",66,1/3/18,1/5/17,1
"Abidjan (Novotel, Pullman, Tiama)",348,"186,000","140,000",58,1/3/18,1/12/16,1
Abidjan (Radisson Blu),500,"268,000","201,000",63,1/3/18,1/12/16,1
Abidjan (Sofitel Hotel Ivoire),430,"230,000","173,000",52,1/3/18,1/12/16,1
Assinie,213,"114,000","85,500",57,1/3/18,1/12/16,
Assinie (Coucoue Lodge),376,"201,000","151,000",37,1/3/18,1/12/16,1
Grand Bassam,139,"74,400","55,800",50,1/3/18,1/12/16,
Grand Bassam (Afrikaland),280,"150,000","113,000",60,1/3/18,1/12/16,1
San Pedro (Sophia),165,"88,400","66,300",46,1/3/18,1/5/17,1
Yamoussokro (HP Resort),183,"98,000","73,500",59,1/3/18,1/5/17,1
Yamoussokro (President),224,"120,000","90,000",50,1/3/18,1/12/16,1
Elsewhere,101,"54,200","40,700",47,1/3/18,1/5/17,
"Croatia, Republic of (Kuna)",,,,,,,
Zagreb,175,"1,060",800,56,1/3/18,1/6/17,
"Zagreb (Esplanade, Sheraton, Westin)",302,"1,830","1,380",49,1/3/18,1/6/17,1
Brijuni,215,"1,310",980,60,1/3/18,1/6/17,
Dubrovnik,244,"1,480","1,110",61,1/3/18,1/6/17,
Opatija,204,"1,240",930,58,1/3/18,1/6/17,
Split,230,"1,400","1,050",63,1/3/18,1/6/17,
Zadar,226,"1,370","1,030",63,1/3/18,1/6/17,
Elsewhere,139,840,630,61,1/3/18,1/6/17,
Cuba (Cuban Peso),,,,,,,3
Havana,269,266,266,72,1/3/17,1/3/17,
Cienfuegos,163,161,121,68,1/3/17,1/3/17,
Santiago De Cuba,180,178,178,67,1/3/17,1/3/17,
Varadero,209,207,207,87,1/3/17,1/3/17,7
Elsewhere,141,140,140,66,1/3/17,1/3/17,
Curacao (N.A. Gulder),,,,,,,
All Areas (15 April - 15 December),288,520,387,55,1/9/17,1/6/17,
All Areas (16 December - 14 April),322,580,433,58,1/9/17,1/6/17,
Cyprus (Euro),,,,,,,
Nicosia,207,169,127,51,1/3/18,1/6/17,
Elsewhere,211,172,129,61,1/3/18,1/6/17,
Czech Republic (Czech Koruna),,,,,,,
Prague,258,"5,340","4,020",63,1/3/18,1/4/17,
Brno,210,"4,350","3,270",71,1/3/18,1/4/17,
Cesky Krumlov,222,"4,600","3,460",70,1/3/18,1/4/17,
Karlovy Vary,243,"5,030","3,770",62,1/3/18,1/4/17,
Olomouc,99,"2,050","1,530",68,1/3/18,1/4/17,
Ostrava,151,"3,130","2,340",62,1/3/18,1/4/17,
Elsewhere,76,"1,570","1,180",65,1/3/18,1/4/17,
Denmark (Danish Krone),,,,,,,
All Areas,407,"2,470","1,850",45,1/3/18,1/8/16,
Djibouti (Djibouti Francs),,,,,,,
Djibouti,187,"33,100","24,800",54,1/4/17,1/7/16,
Djibouti (Bavaria Les Acacias),277,"49,000","36,800",60,1/4/17,1/7/16,1
Djibouti (Djibouti Palace Kempinski),398,"70,500","52,900",67,1/4/17,1/7/16,1
Djibouti (Sheraton),294,"52,000","39,000",62,1/4/17,1/7/16,1
Tadjourah,124,"21,900","16,400",53,1/4/17,1/7/16,
Elsewhere,115,"20,400","15,300",56,1/4/17,1/7/16,
Dominica (E.C. Dollar),,,,,,,
All Areas,393,"1,060",800,55,1/10/17,1/10/17,
Dominican Republic (Dominican Peso),,,,,,,
Santo Domingo,253,"12,500","9,360",60,1/3/18,1/12/17,
Barahona,99,"4,880","3,650",73,1/3/18,1/12/17,
Barahona (Casa Bonita Tropical Lodge),425,"20,900","15,700",60,1/3/18,1/12/17,1
Bavaro/Punta Cana,307,"15,100","11,300",87,1/3/18,1/12/17,
Bayanhibe,217,"10,700","8,030",87,1/3/18,1/12/17,7
Boca Chica (formerly East Santo Domingo),128,"6,310","4,730",86,1/3/18,1/12/17,7
Constanza,85,"4,190","3,150",69,1/3/18,1/12/17,
Jarabacoa,86,"4,240","3,200",73,1/3/18,1/12/17,
Juan Dolio,154,"7,590","5,710",87,1/3/18,1/12/17,7
La Romana,163,"8,030","6,010",87,1/3/18,1/12/17,7
La Romana (Gran Bahia),310,"15,300","11,500",87,1/3/18,1/12/17,"1,7"
Montecristi,201,"9,900","7,440",69,1/3/18,1/12/17,
Puerto Plata,178,"8,770","6,600",87,1/3/18,1/12/17,7
Samana,204,"10,100","7,540",87,1/3/18,1/12/17,7
Santiago,209,"10,300","7,730",77,1/3/18,1/12/17,
Elsewhere,63,"3,100","2,320",64,1/3/18,1/12/17,
Ecuador (US Dollar),,,,,,,
Quito,177,177,133,56,1/1/18,1/1/18,
